lat,lon,temperature,humidity,pressure,wind_speed,aqi,State,Avg_Temperature (°C),Avg_Rainfall (mm),Avg_Radiation (kWh/m²/day),Avg_Humidity (%),Avg_Wind Speed (m/s),pH,Organic Carbon (%),Nitrogen (%),Bulk Density (g/cm�),Cation Exchange (cmol/kg),Sand (%),Silt (%),Clay (%),Crop
20.7735,74.5723,28.97,31,1005,5.37,4,Maharashtra,26.76,2.19,19.03,52.96,2.45,6.7,1.4,0.1,1.45,20,50,30,20,Cotton 
18.236,72.6781,27.59,75,1008,3.02,2,Maharashtra,26.76,2.19,19.03,52.96,2.45,6.7,1.4,0.1,1.45,20,50,30,20,Cotton 
18.7218,70.3002,27.4,75,1007,5.93,3,Maharashtra,26.76,2.19,19.03,52.96,2.45,6.7,1.4,0.1,1.45,20,50,30,20,Cotton 
18.6844,71.3574,27.34,77,1007,4.76,3,Maharashtra,26.76,2.19,19.03,52.96,2.45,6.7,1.4,0.1,1.45,20,50,30,20,Cotton 
19.9819,73.7426,24.29,47,1009,2.9,3,Maharashtra,26.76,2.19,19.03,52.96,2.45,6.7,1.4,0.1,1.45,20,50,30,20,Cotton 
18.5048,71.5864,27.39,76,1008,1.93,2,Maharashtra,26.76,2.19,19.03,52.96,2.45,6.7,1.4,0.1,1.45,20,50,30,20,Cotton 
18.418,75.0682,27.72,51,1006,8.17,3,Maharashtra,26.76,2.19,19.03,52.96,2.45,6.7,1.4,0.1,1.45,20,50,30,20,Cotton 
19.9341,74.3401,27.38,37,1007,9.11,4,Maharashtra,26.76,2.19,19.03,52.96,2.45,6.7,1.4,0.1,1.45,20,50,30,20,Cotton 
17.0644,73.2416,26.71,80,1008,1.35,2,Maharashtra ,26.76,2.19,19.03,52.96,2.45,6.7,1.4,0.1,1.45,20,50,30,20,Cotton 
16.7072,68.9801,27.67,76,1008,6.44,2,Maharashtra,26.76,2.19,19.03,52.96,2.45,6.7,1.4,0.1,1.45,20,50,30,20,Cotton 
16.1832,68.4332,27.66,72,1008,5.64,2,Maharashtra ,26.76,2.19,19.03,52.96,2.45,6.7,1.4,0.1,1.45,20,50,30,20,Cotton 
16.4737,70.035,27.7,75,1008,4.98,2,Maharashtra,26.76,2.19,19.03,52.96,2.45,6.7,1.4,0.1,1.45,20,50,30,20,Cotton 
14.7416,68.4457,28.07,68,1009,5.77,2,Maharashtra,26.76,2.19,19.03,52.96,2.45,6.7,1.4,0.1,1.45,20,50,30,20,Cotton 
25.755,93.3936,20.21,84,1007,0.73,2,Manipur,19.93,3.15,15.85,71.29,0.34,6.7,1.1,0.1,1.5,20,50,29,21,Rice
18.8919,93.0274,27.03,76,1007,3.37,1,Mizoram,24.3,6.29,16.67,74.51,0.38,6.5,1.5,0.13,1.4,22,47,32,21,Rice
23.4354,93.3357,15.03,82,1010,0.38,1,Mizoram,24.3,6.29,16.67,74.51,0.38,6.5,1.5,0.13,1.4,22,47,32,21,Rice
22.9034,92.5244,20.92,85,1008,0.65,1,Mizoram,24.3,6.29,16.67,74.51,0.38,6.5,1.5,0.13,1.4,22,47,32,21,Rice
23.9842,94.4994,21.56,56,1005,0.51,1,Mizoram,24.3,6.29,16.67,74.51,0.38,6.5,1.5,0.13,1.4,22,47,32,21,Rice
25.3055,94.9872,18.04,57,1007,1.99,2,Nagaland,20.25,3.96,15.45,74.05,0.26,6.8,1.3,0.12,1.45,21,48,31,21,Potato
19.843,84.1481,20.36,95,1007,1.7,3,Odisha,25.34,4.06,17.23,65.9,1.86,6.7,1.1,0.08,1.47,21,52,30,18,Rice
21.2306,87.628,27.89,75,1005,7.17,1,Odisha,25.34,4.06,17.23,65.9,1.86,6.7,1.1,0.08,1.47,21,52,30,18,Rice
19.6156,86.4724,28.19,77,1006,4.96,1,Odisha,25.34,4.06,17.23,65.9,1.86,6.7,1.1,0.08,1.47,21,52,30,18,Rice
20.2972,91.0137,27.57,70,1007,4.14,1,Odisha,25.34,4.06,17.23,65.9,1.86,6.7,1.1,0.08,1.47,21,52,30,18,Rice
19.2561,86.2279,28.19,78,1005,4.85,1,Odisha,25.34,4.06,17.23,65.9,1.86,6.7,1.1,0.08,1.47,21,52,30,18,Rice
19.3527,93.8766,21.79,93,1007,0.44,1,Odisha,25.34,4.06,17.23,65.9,1.86,6.7,1.1,0.08,1.47,21,52,30,18,Rice
19.4315,85.617,28.11,77,1006,4.23,1,Odisha,25.34,4.06,17.23,65.9,1.86,6.7,1.1,0.08,1.47,21,52,30,18,Rice
30.7573,74.3313,25.16,35,1000,4.29,3,Punjab,25.29,1.8,17.15,43.42,1.62,7,1.8,0.15,1.55,25,55,25,20,Wheat
28.9223,73.8121,29.63,14,1000,1.18,4,Rajasthan,26.56,0.96,20.66,38.2,2.5,7.6,0.7,0.05,1.7,24,58,25,17,Pearl Millet (Bajra)
29.7419,70.0771,30.35,18,1001,4.38,3,Rajasthan,26.56,0.96,20.66,38.2,2.5,7.6,0.7,0.05,1.7,24,58,25,17,Pearl Millet (Bajra)
26.8635,75.0854,30.6,15,1002,9.65,3,Rajasthan,26.56,0.96,20.66,38.2,2.5,7.6,0.7,0.05,1.7,24,58,25,17,Pearl Millet (Bajra)
27.1624,69.4924,31.23,23,1000,4.74,3,Rajasthan,26.56,0.96,20.66,38.2,2.5,7.6,0.7,0.05,1.7,24,58,25,17,Pearl Millet (Bajra)
29.3168,71.814,31.34,15,999,5.08,4,Rajasthan,26.56,0.96,20.66,38.2,2.5,7.6,0.7,0.05,1.7,24,58,25,17,Pearl Millet (Bajra)
25.9132,73.7841,30.22,17,1003,5.67,3,Rajasthan,26.56,0.96,20.66,38.2,2.5,7.6,0.7,0.05,1.7,24,58,25,17,Pearl Millet (Bajra)
24.7235,73.6505,26.94,21,1006,6.96,3,Rajasthan,26.56,0.96,20.66,38.2,2.5,7.6,0.7,0.05,1.7,24,58,25,17,Pearl Millet (Bajra)
25.0662,74.037,29.53,17,1005,7.57,3,Rajasthan,26.56,0.96,20.66,38.2,2.5,7.6,0.7,0.05,1.7,24,58,25,17,Pearl Millet (Bajra)
29.9539,69.4576,20.78,23,1004,0.99,3,Rajasthan,26.56,0.96,20.66,38.2,2.5,7.6,0.7,0.05,1.7,24,58,25,17,Pearl Millet (Bajra)
